Rank,Guess,NumPatterns,P_solve2
555,80-23=57,1501,0.08469221
556,23+56=79,1501,0.08469221
557,52+34=86,1501,0.08469221
558,58+21=79,1501,0.08469221
559,95-12=83,1500,0.08463578
560,90-63=27,1499,0.08457936
561,26+53=79,1499,0.08457936
562,25+18=43,1499,0.08457936
563,24+37=61,1499,0.08457936
564,90-32=58,1498,0.08452294
565,26+17=43,1498,0.08452294
566,49+18=67,1498,0.08452294
567,96-75=21,1498,0.08452294
568,36+51=87,1498,0.08452294
569,52+37=89,1496,0.08441009
570,19+48=67,1496,0.08441009
571,18+45=63,1496,0.08441009
572,94-78=16,1496,0.08441009
573,80-63=17,1496,0.08441009
574,29+18=47,1495,0.08435366
575,15+47=62,1495,0.08435366
576,17+42=59,1495,0.08435366
577,80-17=63,1495,0.08435366
578,45+28=73,1495,0.08435366
579,31+56=87,1494,0.08429724
580,96-82=14,1494,0.08429724
581,39+25=64,1494,0.08429724
582,27+38=65,1494,0.08429724
583,80-27=53,1493,0.08424082
584,14+59=73,1493,0.08424082
585,54+13=67,1493,0.08424082
586,26+49=75,1493,0.08424082
587,19+43=62,1493,0.08424082
588,51+36=87,1492,0.08418439
589,95-13=82,1492,0.08418439
590,97-13=84,1492,0.08418439
591,49+26=75,1491,0.08412797
592,17+26=43,1491,0.08412797
593,65+13=78,1491,0.08412797
594,65+24=89,1490,0.08407155
595,93-18=75,1490,0.08407155
596,43+28=71,1490,0.08407155
597,59+13=72,1490,0.08407155
598,93-15=78,1490,0.08407155
599,89-76=13,1490,0.08407155
600,90-36=54,1490,0.08407155
601,48+31=79,1489,0.08401512
602,80-53=27,1489,0.08401512
603,80-39=41,1489,0.08401512
604,45+17=62,1489,0.08401512
605,80-67=13,1489,0.08401512
606,64+21=85,1488,0.08395870
607,89-65=24,1488,0.08395870
608,28+43=71,1487,0.08390227
609,38+41=79,1487,0.08390227
610,90-34=56,1487,0.08390227
611,47+18=65,1486,0.08384585
612,56+27=83,1486,0.08384585
613,65+14=79,1486,0.08384585
614,61+23=84,1486,0.08384585
615,32+54=86,1485,0.08378943
616,28+15=43,1485,0.08378943
617,25+14=39,1485,0.08378943
618,56+42=98,1485,0.08378943
619,80-57=23,1484,0.08373300
620,47+39=86,1484,0.08373300
621,89-75=14,1484,0.08373300
622,46+39=85,1484,0.08373300
623,56+18=74,1483,0.08367658
624,58+16=74,1483,0.08367658
625,35+41=76,1483,0.08367658
626,29+38=67,1483,0.08367658
627,27+34=61,1483,0.08367658
628,48+25=73,1483,0.08367658
629,89-15=74,1482,0.08362015
630,168/24=7,1482,0.08362015
631,80-49=31,1481,0.08356373
632,36+49=85,1481,0.08356373
633,90-52=38,1481,0.08356373
634,98-75=23,1481,0.08356373
635,57+24=81,1481,0.08356373
636,52+46=98,1479,0.08345088
637,13+59=72,1479,0.08345088
638,24+57=81,1479,0.08345088
639,23+51=74,1479,0.08345088
640,29+16=45,1478,0.08339446
641,21+53=74,1478,0.08339446
642,90-67=23,1478,0.08339446
643,93-75=18,1478,0.08339446
644,80-29=51,1477,0.08333804
645,28+51=79,1477,0.08333804
646,97-12=85,1477,0.08333804
647,74+12=86,1477,0.08333804
648,17+48=65,1477,0.08333804
649,64+15=79,1476,0.08328161
650,54+38=92,1476,0.08328161
651,93-78=15,1475,0.08322519
652,29+46=75,1475,0.08322519
653,41+38=79,1474,0.08316876
654,27+16=43,1473,0.08311234
655,53+14=67,1473,0.08311234
656,57+29=86,1473,0.08311234
657,62+13=75,1473,0.08311234
658,32+57=89,1472,0.08305592
659,368/92=4,1472,0.08305592
660,95-83=12,1472,0.08305592
661,45+37=82,1471,0.08299949
662,19+53=72,1471,0.08299949
663,80-59=21,1471,0.08299949
664,18+56=74,1470,0.08294307
665,37+49=86,1470,0.08294307
666,24+59=83,1470,0.08294307
667,12+74=86,1469,0.08288664
668,64+25=89,1469,0.08288664
669,68+23=91,1469,0.08288664
670,95-82=13,1469,0.08288664
671,368/4=92,1469,0.08288664
672,16+58=74,1469,0.08288664
